[12-Apr-2022 20:51:35 UTC] PHP Parse error:  syntax error, unexpected '}' in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 119
[12-Apr-2022 21:19:40 UTC] PHP Parse error:  syntax error, unexpected '{' in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 130
[13-Apr-2022 13:04:59 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\templates\temoignages.php on line 51
[13-Apr-2022 13:04:59 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\templates\temoignages.php on line 51
[13-Apr-2022 13:05:08 UTC] PHP Parse error:  syntax error, unexpected '<', expecting end of file in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\templates\temoignages.php on line 51
[13-Apr-2022 15:13:58 UTC] PHP Fatal error:  Cannot redeclare solutionTémoignages_register_post_types() (previously declared in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\functions.php:174) in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\functions.php on line 202
[13-Apr-2022 15:13:58 UTC] PHP Stack trace:
[13-Apr-2022 15:13:58 UTC] PHP   1. {main}() C:\Users\marie\Documents\solution.wp\app\public\wp-admin\admin-ajax.php:0
[13-Apr-2022 15:13:58 UTC] PHP   2. require_once() C:\Users\marie\Documents\solution.wp\app\public\wp-admin\admin-ajax.php:22
[13-Apr-2022 15:13:58 UTC] PHP   3. require_once() C:\Users\marie\Documents\solution.wp\app\public\wp-load.php:50
[13-Apr-2022 15:13:58 UTC] PHP   4. require_once() C:\Users\marie\Documents\solution.wp\app\public\wp-config.php:91
[13-Apr-2022 15:25:59 UTC] PHP Parse error:  syntax error, unexpected 'endwhile' (T_ENDWHILE) in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 215
[13-Apr-2022 15:31:40 UTC] PHP Parse error:  syntax error, unexpected '>' in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 204
[13-Apr-2022 15:35:21 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 222
[13-Apr-2022 15:35:37 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 222
[13-Apr-2022 15:36:10 UTC] PHP Parse error:  syntax error, unexpected end of file in C:\Users\marie\Documents\solution.wp\app\public\wp-content\themes\themesolution\front-page.php on line 222
